review,cleaned_review,Date,Route,Traveler_Type,Competitor,Key_Issue,Sentiment_Score
"✅ Trip Verified |  Wishes I could give it a zero. I had to make a connection in Dallas from New Orleans to San Diego but the first flight was delayed so I had to change the second flight to the latest one. The first flight was delayed 3 times until suddenly we’re informed it’s cancelled. The app automatically canceled my second flight so I had to rebook both. I eventually could take another flight to Dallas (which was delayed too) while the last flight to San Diego was still boarding (delayed by an hour as well). However since my flight (with a reserved seat) was cancelled and no seat available, I had to stay at the airport. There’s a long long line waiting at the customer assistance and the line was almost not moving in more than an hou. The staff appeared not caring and helpful, not sure what they’re doing behind the computers. Will never book their flights again.","Wishes I could give it a zero. I had to make a connection in Dallas from New Orleans to San Diego but the first flight was delayed so I had to change the second flight to the latest one. The first flight was delayed 3 times until suddenly we’re informed it’s cancelled. The app automatically canceled my second flight so I had to rebook both. I eventually could take another flight to Dallas (which was delayed too) while the last flight to San Diego was still boarding (delayed by an hour as well). However since my flight (with a reserved seat) was cancelled and no seat available, I had to stay at the airport. There’s a long long line waiting at the customer assistance and the line was almost not moving in more than an hou. The staff appeared not caring and helpful, not sure what they’re doing behind the computers. Will never book their flights again.",2025-03-14,MIA-GRU,Leisure,None,Staff Service,0.09188311688311687
"Not Verified | Miami airport is the worst I've seen. Few charging stations, delayed flights a million times, canceled flights with very little staff to help rebook. Nasty restrooms and changed gates a million times. You have to walk for miles for each gate. After changing my gate and flights a few times, they sent my suitcase to Tampa Florida which was my original connecting flight to get Dallas. It was supposed to me 3 hours and ended up having to go to Las Vegas to Dallas for 8 hours with my 10 year old. She was exhausted and so was I. We got home at 8 with no bag until 10. I slept for 1 hour and had to go back to get suitcase. ","Miami airport is the worst I've seen. Few charging stations, delayed flights a million times, canceled flights with very little staff to help rebook. Nasty restrooms and changed gates a million times. You have to walk for miles for each gate. After changing my gate and flights a few times, they sent my suitcase to Tampa Florida which was my original connecting flight to get Dallas. It was supposed to me 3 hours and ended up having to go to Las Vegas to Dallas for 8 hours with my 10 year old. She was exhausted and so was I. We got home at 8 with no bag until 10. I slept for 1 hour and had to go back to get suitcase.",2024-07-25,ORD-LHR,Leisure,None,Staff Service,-0.28541666666666665
✅ Trip Verified |  Use another airline. This airline is horrible and don’t help at all. My flight was scheduled for June 21st to departure at 1:14pm to arrive in Dallas at 4:49pm to connecting flight to MCO. I spent all day in the airport from 10 something in the morning until 5ish when they decided to stop delaying it and just canceling it. I spoke to two different reps with American Airlines and one said it was a maintenance issue that caused the delayed another one said there was no crew availability. They think that because they arranged accommodations and meal vouchers would be okay! No that’s not okay! Who is going to pay me for all of us who had to work and I have school. It’s a total of 6 including a minor. The agent at MLM moved our flight for 9:30am the next morning just to find out later last night it had been moved to 4:47pm. This is ridiculous every agent or rep I speak with do absolutely nothing! They blame the airport and the airport blame Dallas airport. This has been a total nightmare. This will be the last time I ever use them. Oh and to top it off they sent me an email giving me a $50 trip credit! You think that’s okay? NWho’s going to pay our day missed at work the extra days at the parking garage for our vehicle? American Airlines don’t care!,Use another airline. This airline is horrible and don’t help at all. My flight was scheduled for June 21st to departure at 1:14pm to arrive in Dallas at 4:49pm to connecting flight to MCO. I spent all day in the airport from 10 something in the morning until 5ish when they decided to stop delaying it and just canceling it. I spoke to two different reps with American Airlines and one said it was a maintenance issue that caused the delayed another one said there was no crew availability. They think that because they arranged accommodations and meal vouchers would be okay! No that’s not okay! Who is going to pay me for all of us who had to work and I have school. It’s a total of 6 including a minor. The agent at MLM moved our flight for 9:30am the next morning just to find out later last night it had been moved to 4:47pm. This is ridiculous every agent or rep I speak with do absolutely nothing! They blame the airport and the airport blame Dallas airport. This has been a total nightmare. This will be the last time I ever use them. Oh and to top it off they sent me an email giving me a $50 trip credit! You think that’s okay? NWho’s going to pay our day missed at work the extra days at the parking garage for our vehicle? American Airlines don’t care!,2023-07-06,DFW-ORD,Business,None,Flight Delay,0.01020833333333333
"Not Verified |  American Airlines had an almost 14 hour delay because of mechanical issues that they knew about the night before the flight. Despite this, after waiting 7 hours at the airport, I booked another flight as I had to be at my destination the same day. It cost almost double to fly on another airline. Instead of compensating me for the extra expense, American has offered only $25 in credit, less than $1 per hour of my delay. I have never experienced terrible customer service like this before. Be aware that if there are issues, American will leave you high and dry.","American Airlines had an almost 14 hour delay because of mechanical issues that they knew about the night before the flight. Despite this, after waiting 7 hours at the airport, I booked another flight as I had to be at my destination the same day. It cost almost double to fly on another airline. Instead of compensating me for the extra expense, American has offered only $25 in credit, less than $1 per hour of my delay. I have never experienced terrible customer service like this before. Be aware that if there are issues, American will leave you high and dry.",2025-10-26,LAX-JFK,Business,None,Flight Delay,-0.03023809523809523
Not Verified |  I just had my worst experience ever flying courtesy of American Airlines. I booked a round-trip and I lost a day stranded in the airport to go to my destination because American Airlines delayed my flight and now I'm stranded in Miami until Wednesday because American Airlines just canceled my Monday flight at the last minute and they just left me to my luck.,I just had my worst experience ever flying courtesy of American Airlines. I booked a round-trip and I lost a day stranded in the airport to go to my destination because American Airlines delayed my flight and now I'm stranded in Miami until Wednesday because American Airlines just canceled my Monday flight at the last minute and they just left me to my luck.,2023-02-26,JFK-LHR,Leisure,None,Flight Delay,-0.16666666666666666
"Not Verified |  I usually fly American, however this is the 3rd time my flight has been delayed. In a row, causing me to miss my connecting flights, all 3 times. Then, I was rebooked on flights the next day. Unacceptable, especially when I'm on a tight schedule. I'll be changing airlines for future flights until things get back up to standard.","I usually fly American, however this is the 3rd time my flight has been delayed. In a row, causing me to miss my connecting flights, all 3 times. Then, I was rebooked on flights the next day. Unacceptable, especially when I'm on a tight schedule. I'll be changing airlines for future flights until things get back up to standard.",2023-04-03,LAX-JFK,Business,None,Flight Delay,0.06904761904761905
Not Verified |  Picture this: your flight is delayed for a reroute flight plan but eventually takes off 30 mins later only to land 3 hours later at an unscheduled airport causing you and your wheelchair assist family to miss an international connecting flight and now you are stranded. You cannot rebook your flight using the app as it still says “delayed” 3 hours later. You are directed to call an speak to an agent which is a 3.5 hour long wait while your connecting flight has already landed! You are not offered even a beverage. You cannot receive your luggage in order drive to the next airport. And your family cannot receive any updates from the staff who are now mutes. But you have paid upfront all of the required fees and taxes for every single facet of these flights. And somehow the courtesy of communication was not included in that cost. Take your business elsewhere. It would be easier to just walk.,Picture this: your flight is delayed for a reroute flight plan but eventually takes off 30 mins later only to land 3 hours later at an unscheduled airport causing you and your wheelchair assist family to miss an international connecting flight and now you are stranded. You cannot rebook your flight using the app as it still says “delayed” 3 hours later. You are directed to call an speak to an agent which is a 3.5 hour long wait while your connecting flight has already landed! You are not offered even a beverage. You cannot receive your luggage in order drive to the next airport. And your family cannot receive any updates from the staff who are now mutes. But you have paid upfront all of the required fees and taxes for every single facet of these flights. And somehow the courtesy of communication was not included in that cost. Take your business elsewhere. It would be easier to just walk.,2024-07-29,MIA-GRU,Leisure,None,Staff Service,-0.016741071428571428
"✅ Trip Verified | I recently had a highly disappointing experience with American Airlines' code share partnership with Japan Airlines. As a loyal customer, I had accumulated over 300,000 American Airlines points, but their redemption process left much to be desired. Despite having a substantial number of points, I was unable to use them effectively or receive the benefits I expected. One of the most frustrating aspects of my journey was no seat selection options, particularly when traveling with children. It is unfathomable that an airline of American Airlines' stature would not prioritize the comfort and convenience of families. With no control over seat assignments, we were left scrambling to find suitable seats, causing unnecessary stress and discomfort. Adding to my disappointment, there were no options to upgrade, even when I was willing to pay for an upgrade. This lack of flexibility was particularly disheartening considering the length of my journey. Traveling from the USA to Vietnam with a layover in Japan for over 9 hours meant that comfort and quality service were crucial. Unfortunately, American Airlines/Japan Airline failed to deliver on these fronts. To make matters worse, the return trip mirrored the same problems. The absence of reliable customer support was particularly frustrating. There was no one to turn to for assistance or to address our concerns. This lack of accountability and communication left me feeling abandoned and unsupported throughout my entire journey. Furthermore, both of my flights experienced delays during boarding. This additional inconvenience only served to exacerbate an already frustrating experience, leaving me questioning the airline's commitment to punctuality and customer satisfaction. In light of this disappointing experience, I am left wondering about the value of retaining my American Airlines points or why anyone would choose to remain loyal to the airline. The inability to utilize my points effectively and the overall lack of customer-centric services have seriously diminished my trust in American Airlines. I sincerely hope that American Airlines takes these concerns seriously and addresses the numerous issues faced by their passengers. Until they demonstrate significant improvements in their services and customer support, it is difficult to recommend them or have faith in their loyalty program. Please note that this review reflects my personal experience, and others may have had different encounters. However, based on my own journey, I would caution potential travelers to consider these factors before booking a flight with American Airlines or their code share partner, Japan Airlines.","I recently had a highly disappointing experience with American Airlines' code share partnership with Japan Airlines. As a loyal customer, I had accumulated over 300,000 American Airlines points, but their redemption process left much to be desired. Despite having a substantial number of points, I was unable to use them effectively or receive the benefits I expected. One of the most frustrating aspects of my journey was no seat selection options, particularly when traveling with children. It is unfathomable that an airline of American Airlines' stature would not prioritize the comfort and convenience of families. With no control over seat assignments, we were left scrambling to find suitable seats, causing unnecessary stress and discomfort. Adding to my disappointment, there were no options to upgrade, even when I was willing to pay for an upgrade. This lack of flexibility was particularly disheartening considering the length of my journey. Traveling from the USA to Vietnam with a layover in Japan for over 9 hours meant that comfort and quality service were crucial. Unfortunately, American Airlines/Japan Airline failed to deliver on these fronts. To make matters worse, the return trip mirrored the same problems. The absence of reliable customer support was particularly frustrating. There was no one to turn to for assistance or to address our concerns. This lack of accountability and communication left me feeling abandoned and unsupported throughout my entire journey. Furthermore, both of my flights experienced delays during boarding. This additional inconvenience only served to exacerbate an already frustrating experience, leaving me questioning the airline's commitment to punctuality and customer satisfaction. In light of this disappointing experience, I am left wondering about the value of retaining my American Airlines points or why anyone would choose to remain loyal to the airline. The inability to utilize my points effectively and the overall lack of customer-centric services have seriously diminished my trust in American Airlines. I sincerely hope that American Airlines takes these concerns seriously and addresses the numerous issues faced by their passengers. Until they demonstrate significant improvements in their services and customer support, it is difficult to recommend them or have faith in their loyalty program. Please note that this review reflects my personal experience, and others may have had different encounters. However, based on my own journey, I would caution potential travelers to consider these factors before booking a flight with American Airlines or their code share partner, Japan Airlines.",2023-04-11,LAX-JFK,Leisure,None,Staff Service,0.005689102564102563
"✅ Trip Verified |  American has quite simply taken the throne as the worst airline imaginable. Where do I even start? We board in Phoenix, AZ in June when it is 110 degrees outside and the plane is a literal sauna. Apparently the ac “wasn’t connected”. We then sit on the tarmac for an extra 25-30 minutes sweating profusely in the most uncomfortable situation. In the air, the outstandingly horrible display of an airline continued. I paid $40 for Wifi for the flight to watch the Us open golf tournament and in the least surprising news of the century - the wifi was broken for more than 75% of the flight. The cherry on top was the flight attendants ridiculous behavior. When asking for garbage I handed the man my sprite can and the cup. He only grabbed the can and the cup spilled on a passenger at the end of the row. They are having an exclusive discount on a Mastercard for 70,000 miles? What a joke. The attendants were loud on the speaker talking for at least 20 minutes trying to push this deal before the end of the month. Grand finale? They had interns on the flight deck at JFK and they moved the plane to far forward. We sat at the gate for 45 minutes before being able to get off the plane at 12 in the morning. If you offered me free flights for life on American I would say “no thank you” disgusting display of professionalism- worst airline imaginable. Should definitely take your business elsewhere","American has quite simply taken the throne as the worst airline imaginable. Where do I even start? We board in Phoenix, AZ in June when it is 110 degrees outside and the plane is a literal sauna. Apparently the ac “wasn’t connected”. We then sit on the tarmac for an extra 25-30 minutes sweating profusely in the most uncomfortable situation. In the air, the outstandingly horrible display of an airline continued. I paid $40 for Wifi for the flight to watch the Us open golf tournament and in the least surprising news of the century - the wifi was broken for more than 75% of the flight. The cherry on top was the flight attendants ridiculous behavior. When asking for garbage I handed the man my sprite can and the cup. He only grabbed the can and the cup spilled on a passenger at the end of the row. They are having an exclusive discount on a Mastercard for 70,000 miles? What a joke. The attendants were loud on the speaker talking for at least 20 minutes trying to push this deal before the end of the month. Grand finale? They had interns on the flight deck at JFK and they moved the plane to far forward. We sat at the gate for 45 minutes before being able to get off the plane at 12 in the morning. If you offered me free flights for life on American I would say “no thank you” disgusting display of professionalism- worst airline imaginable. Should definitely take your business elsewhere",2024-01-22,LAX-JFK,Leisure,None,Staff Service,-0.0734567901234568
"Not Verified |  My family and I came from a long 12 hour long flight from overseas, which was also American Airlines (went smoothly) and when we landed in Dallas it was supposed to be a short 2 hour layover before heading to Austin. Turns out the flight kept getting delayed and delayed over and over again whether it was technical issues or due to not having a pilot to operate the plane. Originally was going to depart at 6:00 pm, was now delayed to 11:50 pm. Unbelievable. Service was mediocre at best, but overall extremely chaotic and unorganized and it would have been better to have put my money in a more competent airline. We have stayed at the airport for over 7+ hours. Please put your money in a better airline, just because it’s cheap doesn’t necessarily mean it’s worth it.","My family and I came from a long 12 hour long flight from overseas, which was also American Airlines (went smoothly) and when we landed in Dallas it was supposed to be a short 2 hour layover before heading to Austin. Turns out the flight kept getting delayed and delayed over and over again whether it was technical issues or due to not having a pilot to operate the plane. Originally was going to depart at 6:00 pm, was now delayed to 11:50 pm. Unbelievable. Service was mediocre at best, but overall extremely chaotic and unorganized and it would have been better to have put my money in a more competent airline. We have stayed at the airport for over 7+ hours. Please put your money in a better airline, just because it’s cheap doesn’t necessarily mean it’s worth it.",2023-10-14,MIA-GRU,Leisure,None,Flight Delay,0.15312499999999998
Not Verified | This morning my grandmother and aunt’s digital boarding pass did not match the terminal listed on the app. The employee at DFW was rude and would not even tell my aunt if she was in the right terminal until she went back to the car to get my grandmother with a wheelchair and giant bag to check and no assistance at all. It was extremely difficult and stressful for them and they were treated with disdain. He talked to them like they were ignorant and an inconvenience. I literally cannot express how disgusted I am with the poor customer service and lack of empathy or decency that was experienced. I hope I can always find a flight on another airline and avoid yours forever.,This morning my grandmother and aunt’s digital boarding pass did not match the terminal listed on the app. The employee at DFW was rude and would not even tell my aunt if she was in the right terminal until she went back to the car to get my grandmother with a wheelchair and giant bag to check and no assistance at all. It was extremely difficult and stressful for them and they were treated with disdain. He talked to them like they were ignorant and an inconvenience. I literally cannot express how disgusted I am with the poor customer service and lack of empathy or decency that was experienced. I hope I can always find a flight on another airline and avoid yours forever.,2023-07-08,LAX-JFK,Family,None,Staff Service,-0.12380952380952379
"Not Verified |  
Chaotic. Flight was first delayed an hour then the plane had broken down so we had to move planes and after being sat on the plane there was another 4 hour delay. This is very unprofessional and unorganized. This airline is terrible please never book a ticket to this airline.",Chaotic. Flight was first delayed an hour then the plane had broken down so we had to move planes and after being sat on the plane there was another 4 hour delay. This is very unprofessional and unorganized. This airline is terrible please never book a ticket to this airline.,2025-05-01,LAX-JFK,Leisure,None,Flight Delay,-0.22111111111111112
Not Verified |  They pushed our flight back 5 hours with no explanation and simply just a text! You definitely should spend the extra money on a better airline if possible. The staff are friendly but just overall a very unorganized airline. Do not recommend putting yourself through this chaos. No partial refund or sorry for the inconvenience. Will never fly this airline by choice again.,They pushed our flight back 5 hours with no explanation and simply just a text! You definitely should spend the extra money on a better airline if possible. The staff are friendly but just overall a very unorganized airline. Do not recommend putting yourself through this chaos. No partial refund or sorry for the inconvenience. Will never fly this airline by choice again.,2023-04-07,DFW-ORD,Leisure,None,Flight Delay,0.01875
✅ Trip Verified |  Beware - you will be treated very badly if your ever have to make a claim against this company for poor service. It makes no difference of how long you have been flying with them. Customer Service leaves a lot to be desired - following rules without any empathy or understanding of stress caused to passengers on delayed of cancelled flights. I would recommend you use another airline. My complaint was escalated but was returned to Customer Service!,Beware - you will be treated very badly if your ever have to make a claim against this company for poor service. It makes no difference of how long you have been flying with them. Customer Service leaves a lot to be desired - following rules without any empathy or understanding of stress caused to passengers on delayed of cancelled flights. I would recommend you use another airline. My complaint was escalated but was returned to Customer Service!,2025-09-02,JFK-LHR,Unknown,None,Staff Service,-0.347
